DATE,NO_HOSPITALIZED
15.03.2020,263
16.03.2020,370
17.03.2020,493
18.03.2020,646
19.03.2020,840
20.03.2020,1108
21.03.2020,1384
22.03.2020,1661
23.03.2020,1883
24.03.2020,2204
25.03.2020,2721
26.03.2020,3111
27.03.2020,3649
28.03.2020,4088
29.03.2020,4536
30.03.2020,4897
31.03.2020,4988
01.04.2020,5219
02.04.2020,5398
03.04.2020,5562
04.04.2020,5531
05.04.2020,5620
06.04.2020,5759
07.04.2020,5710
08.04.2020,5620
09.04.2020,5640
10.04.2020,5663
11.04.2020,5538
12.04.2020,5542
13.04.2020,5554
14.04.2020,5532
15.04.2020,5331
16.04.2020,5181
17.04.2020,5088
18.04.2020,4889
19.04.2020,4940
20.04.2020,4996
21.04.2020,4765
22.04.2020,4527
23.04.2020,4353
24.04.2020,4195
25.04.2020,3957
26.04.2020,3968
27.04.2020,3976
28.04.2020,3733
29.04.2020,3609
30.04.2020,3386
01.05.2020,3109
02.05.2020,3080
03.05.2020,3044
04.05.2020,3080
05.05.2020,2868
06.05.2020,2699
07.05.2020,2555
08.05.2020,2381
09.05.2020,2222
10.05.2020,2222
11.05.2020,2230
12.05.2020,2085
13.05.2020,1966
14.05.2020,1862
15.05.2020,1750
16.05.2020,1625
17.05.2020,1614
18.05.2020,1630
19.05.2020,1527
20.05.2020,1448
21.05.2020,1388
22.05.2020,1360
23.05.2020,1296
24.05.2020,1306
25.05.2020,1304
26.05.2020,1150
27.05.2020,1050
28.05.2020,939
29.05.2020,892
30.05.2020,823
31.05.2020,818
01.06.2020,821
02.06.2020,821
03.06.2020,739
04.06.2020,702
05.06.2020,647
06.06.2020,573
07.06.2020,576
08.06.2020,575
09.06.2020,527
10.06.2020,484
11.06.2020,479
12.06.2020,425
13.06.2020,395
14.06.2020,400
15.06.2020,393
16.06.2020,371
17.06.2020,344
18.06.2020,340
19.06.2020,308
20.06.2020,292
21.06.2020,295
22.06.2020,293
23.06.2020,281
24.06.2020,268
25.06.2020,256
26.06.2020,247
27.06.2020,237
28.06.2020,237
29.06.2020,244
30.06.2020,222
01.07.2020,203
02.07.2020,187
03.07.2020,168
04.07.2020,170
05.07.2020,170
06.07.2020,169
07.07.2020,178
08.07.2020,165
09.07.2020,160
10.07.2020,143
11.07.2020,132
12.07.2020,130
13.07.2020,138
14.07.2020,147
15.07.2020,150
16.07.2020,147
17.07.2020,145
18.07.2020,161
19.07.2020,168
20.07.2020,181
21.07.2020,172
22.07.2020,191
23.07.2020,203
24.07.2020,218
25.07.2020,210
26.07.2020,211
27.07.2020,222
28.07.2020,232
29.07.2020,263
30.07.2020,267
31.07.2020,253
01.08.2020,259
02.08.2020,271
03.08.2020,290
04.08.2020,265
05.08.2020,293
06.08.2020,278
07.08.2020,285
08.08.2020,281
09.08.2020,285
10.08.2020,312
11.08.2020,307
12.08.2020,301
13.08.2020,309
14.08.2020,312
15.08.2020,309
16.08.2020,337
17.08.2020,341
18.08.2020,335
19.08.2020,334
20.08.2020,303
21.08.2020,314
22.08.2020,310
23.08.2020,312
24.08.2020,320
25.08.2020,282
26.08.2020,260
27.08.2020,257
28.08.2020,252
29.08.2020,230
30.08.2020,233
31.08.2020,243
01.09.2020,226
02.09.2020,221
03.09.2020,209
04.09.2020,215
05.09.2020,215
06.09.2020,223
07.09.2020,235
08.09.2020,260
09.09.2020,250
10.09.2020,249
11.09.2020,254
12.09.2020,260
13.09.2020,293
14.09.2020,318
15.09.2020,315
16.09.2020,353
17.09.2020,371
18.09.2020,392
19.09.2020,421
20.09.2020,432
21.09.2020,490
22.09.2020,505
23.09.2020,550
24.09.2020,602
25.09.2020,620
26.09.2020,626
27.09.2020,654
28.09.2020,708
29.09.2020,716
30.09.2020,739
01.10.2020,773
02.10.2020,789
03.10.2020,819
04.10.2020,866
05.10.2020,937
06.10.2020,952
07.10.2020,1050
08.10.2020,1110
09.10.2020,1191
10.10.2020,1260
11.10.2020,1334
12.10.2020,1473
13.10.2020,1622
14.10.2020,1778
15.10.2020,1951
16.10.2020,2099
17.10.2020,2267
18.10.2020,2497
19.10.2020,2773
20.10.2020,2977
21.10.2020,3275
22.10.2020,3649
23.10.2020,4056
24.10.2020,4408
25.10.2020,4825
26.10.2020,5268
27.10.2020,5548
28.10.2020,5924
29.10.2020,6187
30.10.2020,6439
31.10.2020,6502
01.11.2020,6824
02.11.2020,7233
03.11.2020,7461
04.11.2020,7411
05.11.2020,7290
06.11.2020,7224
07.11.2020,6895
08.11.2020,6955
09.11.2020,7221
10.11.2020,7058
11.11.2020,6879
12.11.2020,7010
13.11.2020,6762
14.11.2020,6505
15.11.2020,6518
16.11.2020,6580
17.11.2020,6240
18.11.2020,5930
19.11.2020,5651
20.11.2020,5418
21.11.2020,5017
22.11.2020,5025
23.11.2020,5076
24.11.2020,4783
25.11.2020,4570
26.11.2020,4376
27.11.2020,4215
28.11.2020,3994
29.11.2020,3989
30.11.2020,4014
01.12.2020,3707
02.12.2020,3590
03.12.2020,3417
04.12.2020,3341
05.12.2020,3163
06.12.2020,3210
07.12.2020,3272
08.12.2020,3136
09.12.2020,3034
10.12.2020,2961
11.12.2020,2896
12.12.2020,2770
13.12.2020,2861
14.12.2020,2888
15.12.2020,2772
16.12.2020,2707
17.12.2020,2683
18.12.2020,2616
19.12.2020,2523
20.12.2020,2538
21.12.2020,2610
22.12.2020,2557
23.12.2020,2467
24.12.2020,2447
25.12.2020,2282
26.12.2020,2286
27.12.2020,2359
28.12.2020,2440
29.12.2020,2417
30.12.2020,2333
31.12.2020,2187
01.01.2021,2081
02.01.2021,2122
03.01.2021,2185
04.01.2021,2226
05.01.2021,2130
06.01.2021,2076
07.01.2021,2018
08.01.2021,1996
09.01.2021,1927
10.01.2021,1955
11.01.2021,2020
12.01.2021,1966
13.01.2021,1943
14.01.2021,1915
15.01.2021,1883
16.01.2021,1828
17.01.2021,1892
18.01.2021,1974
19.01.2021,1960
20.01.2021,1938
21.01.2021,1941
22.01.2021,1923
23.01.2021,1888
24.01.2021,1923
25.01.2021,1954
26.01.2021,1928
27.01.2021,1850
28.01.2021,1819
29.01.2021,1810
30.01.2021,1760
31.01.2021,1788
01.02.2021,1852
02.02.2021,1794
03.02.2021,1785
04.02.2021,1751
05.02.2021,1737
06.02.2021,1650
07.02.2021,1678
08.02.2021,1698
09.02.2021,1674
10.02.2021,1652
11.02.2021,1642
12.02.2021,1634
13.02.2021,1567
14.02.2021,1598
15.02.2021,1632
16.02.2021,1600
17.02.2021,1610
18.02.2021,1588
19.02.2021,1607
20.02.2021,1567
21.02.2021,1619
22.02.2021,1721
23.02.2021,1711
24.02.2021,1749
25.02.2021,1759
26.02.2021,1838
